Graduados por educaciones,-,--,---,----,-----,------,--------
CONCEPTO, 2016/17, 2017/18, 2018/19, 2019/20, 2020/21, 2021/22
Total, 13 747, 13 671, 13 290, 14 929, 11 620, 13 065
Primaria, 3 970j, 3 733 ,3 623 ,3 901 ,3 969, 3 948
Urbana, 3 374, 3 174 ,3 108 ,3 421, 3 468 ,3 463
Rural, 503 ,481 ,455, 480, 501 ,485
Escuela de Iniciación Deportiva ,62 ,30, 32, - ,- ,-
Escuela Vocacional de Arte ,31 ,48 ,28 ,- ,- ,-
Media, 8 095, 8 121, 7 988 ,6 578 ,6 462, 7 575
Secundaria básica ,4 391, 4 420 ,4 164, 3 651 ,3 706 ,3 339
Preuniversitario ,1 705, 1 561, 1 658, 1 437, 1 490, 1 320
Técnica y profesional, 1 841, 1 975 ,1 993, 1 326, 1 094, 2 669
Técnico medio, 1 082 ,1 402, 231 ,662 ,690 ,2 419
Obrero calificado, 217 ,176 ,208 ,344 ,404, 250
Formación de personal pedagógico ,158 ,165, 173 ,164 ,172 ,247
Adultos ,819 ,832 ,773 ,3 093 ,451 ,581
Educación Obrero Campesina, 60 ,68 ,37 ,15, - ,6
Secundaria Obrero Campesina ,323 ,161 ,165 ,195 ,- ,97
Facultad Obrero Campesina, 391, 503, 482, 2 873, 451, 347
Idiomas, 45, 100 ,89 ,10 ,- ,131
Especial, 89, 113 ,116, 126, 153, 103
Superior ,774 ,872 ,790 ,1 231 ,585 ,858
