Graduados de la Educación Superior por ramas de la ciencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMAS DE LA CIENCIA, 1985/86, 1986/87, 1987/88, 1988/89, 1989/90, 1990/91, 1991/92, 1992/93, 1993/94, 1994/95, 1995/96, 1996/97, 1997/98, 1998/99, 1999/00, 2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17, 2017/18, 2018/19, 2019/20, 2020/21
Total,23 579,27 606,29 982,33 199,35 144,39 374,37 591,34 544,31 015,31 706,27 502,23 703,19 413,16 938,16 769,17 136,18 093,18 412,"19,964","23,891","32,354","44,755","71,475","74,845","84,779","85,757","89,560","70,341","54,373","36,261","23,971","22,344","22,803","35,653","43,767","41,655"
   Ciencias técnicas,"4,229","5,028","4,281","4,329","5,099",4 834,4 907,4 836,5 532,5 189,5 204,3 928,2 829,2 067,1 890,2 055,1 977,"2,030","2,363","2,573","3,016","4,078","4,770","5,383","5,779","5,407","5,922","5,360","5,401","4,940","4,669","4,176","4,003","4,533","4,474","5,029"
   Ciencias naturales y matemáticas,862,904,958,921,"1,000", 919, 825, 844, 856, 799, 951, 958,1 022, 769, 756, 577, 631,567,601,553,561,583,559,607,559,572,621,621,709,693,663,663,571,641,829,968
   Ciencias agropecuarias,"2,513","1,925","2,399","2,129","1,791",1 538,1 450,1 316,2 039,2 029,1 395,1 211, 939, 854, 638, 770, 775,824,899,799,808,823,729,"1,061","1,153","1,349","2,709","1,932","1,624","1,147",683,885,820,767,"1,302","2,242"
   Ciencias económicas,"2,888","2,590","2,950","3,121","2,928",2 017,3 229,1 572,1 646,1 456,1 127, 758, 718, 624, 722, 948,1 268,"1,804","2,251","2,282","2,569","2,408","3,056","4,486","5,412","6,914","10,159","7,472","5,285","2,670","1,880","1,595","1,680","1,765","2,694","3,923"
   Ciencias sociales y humanísticas,"1,330","1,059","1,254","1,277","1,393",1 329,1 372,1 324,1 198,1 250, 841,1 180,1 250,1 074,1 228,1 177,1 254,963,"1,541","1,464","1,845","2,911","5,446","8,161","12,655","15,418","17,515","14,976","9,695","5,304","3,143","1,955","1,958","1,985","3,584","3,886"
   Ciencias Pedagógicas,"6,783","11,137","12,078","14,195","16,385",20 885,18 817,15 859,10 636,10 975,8 891,7 456,6 020,6 057,5 742,5 696,5 963,"5,769","7,315","8,316","12,972","23,016","23,485","17,340","18,049","18,395","15,219","12,601","5,449","2,866","2,226","4,121","3,087","10,236","10,438","7,472"
   Ciencias médicas,"3,678","3,462","4,328","4,960","6,051",6 342,5 235,6 789,6 604,7 029,6 213,6 313,4 952,4 597,4 846,4 708,4 941,"5,116","3,632","5,807","8,540","8,396","24,441","22,841","26,596","25,591","28,745","24,889","22,670","16,082","9,015","8,098","9,450","13,277","15,890","15,498"
   Ciencias de la Cultura física y el Deporte,"1,224","1,375","1,665","2,145",400,1 415,1 660,1 926,2 411,2 840,2 782,1 803,1 603, 786, 847,1 085,1 182,"1,191","1,166","1,890","1,941","2,309","8,786","14,777","14,357","11,905","8,441","2,132","3,323","2,358","1,459",584,962,"2,232","4,355","2,444"
   Ciencias del Arte,72,126,69,122,97, 95, 96, 78, 93, 139, 98, 96, 80, 110, 100, 120, 102,148,196,207,102,231,203,189,219,206,229,358,217,201,233,267,272,217,201,193

