Matrícula inicial por educaciones,-,--,---,----,-----,------
CONCEPTO, 2017/18, 2018/19, 2019/20, 2020/21, 2021/22, 2022/23
Total, 66402, 66225, 66486, 54206, 61541, 57500
Preescolar ,2 784 ,2 694 ,2 628 ,2 716 ,2 716, 2 510
Primaria, 24 990, 25 138 ,25 295, 25 091, 25 152 ,23 621
Urbana, 21 470 ,21 585 ,21 771 ,21 704, 21 742 ,20 361
Rural, 3 339, 3 311, 3 358, 3 387, 3 410, 3 260
Escuela de Iniciación Deportiva ,103 ,152 72 ,-, ,- ,-
Escuela Vocacional de Arte, 78, 90 ,94, -, -, -
Media ,25 210 ,25 109 ,24 306 ,22 293 ,22 488 ,20 518
Secundaria básica, 12 763, 12 153, 11 335, 10 854, 10 912, 11 298
De ello: En el campo ,1 281 ,1 148 ,1 112 ,1 058 ,1 080 ,1 061
Escuela de Iniciación Deportiva, 485, 696, 494, -, -, .-
Escuela Vocacional de Arte, 90 ,112 ,97 ,- ,- ,-
Preuniversitario, 5 009, 4 912, 4 619, 4 165, 4 211, 3 568
De ello: En el campo ,497 ,525 ,475 ,420 ,443 ,335
Ciencias exactas ,387, 396, 435, 465, 473, 356
Escuela Superior de Perfeccionamiento Atlético, 295, 302, 298, -, -, -
Técnica y profesional ,6 380 ,6 996 ,7 289 ,6 065 ,6 139 ,4 586
De ello: Técnico medio, 2 690, 5 756, 5 773, 5 933, 5 920, 2 973
Oficios ,305 ,437 ,366 ,132 ,219 ,571
Cursos del Ministerio del Azúcar, 1 205, -, -, -, -, -
Centros Politécnicos Otros Organismos ,- ,803 ,1 150 ,- ,- ,-
Formación Personal Pedagógico, 1 058, 1 048, 1 063, 1 209, 1 226, 1 066
Curso de Lengua Española Historia de Cuba y Matemáticas ,155 ,153 ,73, 24 ,- ,-
Adultos ,3 898 ,3 280 ,3 631 ,2 799 ,2 851 ,2 509
Educación obrero campesina ,273, 65 ,27, 6, 9, 9
Secundaria obrero campesina ,425 ,309 ,366 ,83 ,83, 116
Facultad obrero campesina, 2 850, 2 587, 2 589, 2 111, 2 132, 1 834
Idioma, 350 ,319 ,649 ,599 ,627 ,550
Especial, 1 276, 1 336 ,1 299 ,1 283, 1 307, 1 274
Superior ,8 244 ,8 515 ,9 254 ,… ,7 027 ,7 068
Ministerio de Educación Superior, 5 374, 5 351, 5 772, …, 7 027, 7 068
Ministerio de Salud Pública ,2 870 ,3 164 ,3 482 ,… ,… ,…
