Matrícula inicial de la Educación Superior por ramas de la ciencia, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
RAMAS DE LA CIENCIA,-,-,-,-,-,-,-,-,-,-,-,-
Total (a),"473,309","351,116","261,465","207,237","173,298","165,926","218,643","224,944","240,813","257,347","288,219","285,696"
   Ciencias técnicas,"39,871","36,100","34,820","32,723","30,204","29,557","30,870","30,346", 30 496, 29 766, 32 274, 31 596
   Ciencias naturales y matemáticas,"4,550","4,500","4,511","4,442","4,399","4,428","4,419","4,365", 4 350, 4 328, 4 126, 4 559
   Ciencias agropecuarias,"11,661","9,378","7,187","6,509","5,481","5,149","9,799","10,250", 11 740, 12 219, 15 566, 15 858
   Ciencias económicas,"47,056","36,121","25,618","17,807","13,059","11,997","17,811","18,477", 19 931, 21 004, 24 192, 25 027
   Ciencias sociales y humanísticas,"113,284","77,243","51,465","33,995","22,254","17,733","21,224","20,853", 22 355, 23 719, 27 103, 29 533
   Ciencias Pedagógicas,"67,935","43,700","30,383","22,338","19,656","19,841","45,442","43,664", 47 073, 54 170, 66 304, 66 940
   Ciencias médicas,"148,483","118,914","93,132","76,933","69,760","69,734","76,329","81,837", 87 215, 92 025, 95 534, 89 333
   Ciencias de la Cultura física y el Deporte,"39,099","23,792","12,949","11,044","7,018","6,031","11,318","13,769", 16 274, 18 700, 21 600, 21 376
   Ciencias del Arte,"1,370","1,368","1,400","1,446","1,467","1,456","1,431","1,383", 1 379, 1 416, 1 520, 1 474

