_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,   Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la JuventudCuba,
 Cuba,"80,581","1,700","5,962","23,136","5,830","7,108","3,673","2,118","3,079","4,832","4,744","3,087","4,744","3,446","4,058","2,118",946,
    Hombres,"41,524",923,"3,230","11,395","3,056","3,691","1,929","1,109",1601 ,"2,455","2,373","1,653","2,478","1,846","2,127","1,137",521,
    Mujeres,"39,057",777,"2,732","11,741","2,774","3,417","1,744","1,009",1478 ,"2,377","2,371","1,434","2,266","1,600","1,931",981,425,
  Pinar del Río,"2,872",-,781,"1,380",149,108,50,34,43,27,37,35,49,52,61,11,55,
    Hombres,"1,462",-,397,687,75,66,28,17,25 ,12,18,19,21,29,34,8,26,
    Mujeres,"1,410",-,384,693,74,42,22,17,18 ,15,19,16,28,23,27,3,29,
  Artemisa,"4,127",562,-,"2,027",306,118,60,39,44,86,105,75,171,202,186,95,51,
    Hombres,"2,168",299,-,1009,145,68,29,18,25,48,63,41,93,136,101,57,36,
    Mujeres,"1,959",263,-,1018,161,50,31,21,19,38,42,34,78,66,85,38,15,
  La Habana,"7,368",454,"1,025",-,"1,028",433,497,205,227,265,474,329,678,529,635,410,179,
    Hombres,"4,154",241,560,-,550,233,277,118,121,137,270,196,388,305,396,260,102,
    Mujeres,"3,214",213,465,-,478,200,220,87,106,128,204,133,290,224,239,150,77,
  Mayabeque,"4,005",62,293,"1,961",-,333,58,41,39,76,101,119,229,277,214,148,54,
    Hombres,"2,098",32,156,1010,-,158,31,22,18,35,57,73,124,156,113,81,32,
    Mujeres,"1,907",30,137,951,-,175,27,19,21,41,44,46,105,121,101,67,22,
  Matanzas,"3,551",86,126,958,338,-,390,187,170,91,214,108,222,236,261,133,31,
    Hombres,"1,888",50,66,482,197,-,212,118,81,44,114,60,119,130,124,73,18,
    Mujeres,"1,663",36,60,476,141,-,178,69,89,47,100,48,103,106,137,60,13,
  Villa Clara,"3,758",43,113,"1,048",87,710,-,450,595,215,144,48,82,89,84,28,22,
    Hombres,"1,916",26,69,508,37,368,-,222,310,106,76,29,46,43,52,14,10,
    Mujeres,"1,842",17,44,540,50,342,-,228,285,109,68,19,36,46,32,14,12,
  Cienfuegos,"2,106",44,55,581,61,272,436,-,177,49,76,46,94,60,103,43,9,
    Hombres,"1,057",20,32,278,35,151,226,-,80,26,36,26,43,29,51,19,5,
    Mujeres,"1,049",24,23,303,26,121,210,-,97,23,40,20,51,31,52,24,4,
  Sancti Spíritus,"3,089",22,61,595,78,267,805,187,-,458,172,79,173,73,41,64,14,
    Hombres,"1,571",12,40,299,46,123,412,88,-,239,71,48,88,43,20,34,8,
    Mujeres,"1,518",10,21,296,32,144,393,99,-,219,101,31,85,30,21,30,6,
Ciego de Ávila,"3,255",16,116,677,135,206,227,69,343,-,496,121,289,199,219,122,20,
    Hombres,"1,711",9,69,333,76,107,125,39,180,-,246,64,168,108,121,57,9,
    Mujeres,"1,544",7,47,344,59,99,102,30,163,-,250,57,121,91,98,65,11,
  Camagüey,"6,077",45,257,"1,463",272,524,275,143,301,909,-,577,455,319,363,140,34,
    Hombres,"3,046",25,152,698,148,263,143,79,155,439,-,293,220,150,191,73,17,
    Mujeres,"3,031",20,105,765,124,261,132,64,146,470,-,284,235,169,172,67,17,
  Las Tunas,"4,537",51,214,"1,018",288,351,142,98,153,244,847,-,623,215,171,79,43,
    Hombres,"2,318",34,125,521,155,182,70,49,80,119,411,-,320,105,87,35,25,
    Mujeres,"2,219",17,89,497,133,169,72,49,73,125,436,-,303,110,84,44,18,
  Holguín,"8,766",79,506,"2,800",472,762,208,164,384,759,573,724,-,430,529,280,96,
    Hombres,"4,534",46,299,1406,247,377,113,83,206,378,285,390,-,242,259,144,59,
    Mujeres,"4,232",33,207,1394,225,385,95,81,178,381,288,334,-,188,270,136,37,
  Granma,"9,383",82,969,"2,549","1,149","1,102",211,142,230,671,597,400,535,-,530,104,112,
    Hombres,"4,744",46,490,1267,575,590,105,79,130,349,282,203,261,-,264,52,51,
    Mujeres,"4,639",36,479,1282,574,512,106,63,100,322,315,197,274,-,266,52,61,
  Santiago de Cuba,"9,286",52,810,"3,228",616,"1,119",185,234,141,544,445,246,599,542,-,426,99,
    Hombres,"4,620",30,431,1521,328,592,94,114,72,292,213,112,308,248,-,212,53,
    Mujeres,"4,666",22,379,1707,288,527,91,120,69,252,232,134,291,294,-,214,46,
  Guantánamo,"6,955",44,517,"2,131",725,714,104,107,212,419,432,139,494,172,618,-,127,
    Hombres,"3,498",21,283,1021,379,371,51,54,108,222,218,74,244,89,293,-,70,
    Mujeres,"3,457",23,234,1110,346,343,53,53,104,197,214,65,250,83,325,-,57,
  Isla de la Juventud,"1,446",58,119,720,126,89,25,18,20,19,31,41,51,51,43,35,-,
    Hombres,739,32,61,355,63,42,13,9,10,9,13,25,35,33,21,18,-,
    Mujeres,707,26,58,365,63,47,12,9,10,10,18,16,16,18,22,17,-,
