_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,    Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la Juventud
Cuba,"82,514","1,632","6,667","22,850","5,289","7,891","3,733","2,744","3,336","4,943","4,859","3,055","4,712","3,401","4,094","2,281","1,027",
    Hombres,"41,792",862,"3,559","10,942","2,783","4,125","1,896","1,341",1759 ,"2,571","2,390","1,570","2,412","1,765","2,048","1,202",567,
    Mujeres,"40,722",770,"3,108","11,908","2,506","3,766","1,837","1,403",1577 ,"2,372","2,469","1,485","2,300","1,636","2,046","1,079",460,
  Pinar del Río,"2,963",-,955,"1,277",121,125,63,41,36,39,38,26,44,46,69,22,61,
    Hombres,"1,424",-,454,591,66,76,29,22,18 ,18,19,16,19,27,32,10,27,
    Mujeres,"1,539",-,501,686,55,49,34,19,18 ,21,19,10,25,19,37,12,34,
  Artemisa,"4,183",506,-,"2,008",247,111,81,43,64,86,85,95,207,274,203,112,61,
    Hombres,"2,187",259,-,991,131,60,42,28,39,47,48,57,120,145,119,67,34,
    Mujeres,"1,996",247,-,1017,116,51,39,15,25,39,37,38,87,129,84,45,27,
  La Habana,"7,742",423,"1,061",-,908,722,486,284,315,298,531,353,592,488,698,380,203,
    Hombres,"4,158",211,584,-,461,392,226,152,159,163,281,198,315,264,400,244,108,
    Mujeres,"3,584",212,477,-,447,330,260,132,156,135,250,155,277,224,298,136,95,
  Mayabeque,"4,036",63,334,"1,833",-,410,58,34,57,86,100,95,245,247,223,169,82,
    Hombres,"2,068",28,161,882,-,208,32,16,32,53,59,60,142,134,119,100,42,
    Mujeres,"1,968",35,173,951,-,202,26,18,25,33,41,35,103,113,104,69,40,
  Matanzas,"3,764",87,157,"1,005",260,-,401,227,160,135,232,106,237,283,278,180,16,
    Hombres,"1,882",60,71,469,138,-,203,111,92,74,114,43,126,139,139,94,9,
    Mujeres,"1,882",27,86,536,122,-,198,116,68,61,118,63,111,144,139,86,7,
  Villa Clara,"4,007",36,101,878,62,823,-,677,712,211,150,69,95,67,69,32,25,
    Hombres,"2,030",20,57,406,40,429,-,308,403,113,68,44,47,33,32,17,13,
    Mujeres,"1,977",16,44,472,22,394,-,369,309,98,82,25,48,34,37,15,12,
  Cienfuegos,"2,142",19,90,524,60,304,421,-,220,69,88,70,90,61,68,44,14,
    Hombres,"1,090",8,53,263,30,164,199,-,110,34,43,38,50,34,36,21,7,
    Mujeres,"1,052",11,37,261,30,140,222,-,110,35,45,32,40,27,32,23,7,
  Sancti Spíritus,"3,076",28,78,501,73,248,834,236,-,491,157,68,162,77,60,45,18,
    Hombres,"1,581",13,43,231,46,125,420,126,-,269,80,39,84,42,31,25,7,
    Mujeres,"1,495",15,35,270,27,123,414,110,-,222,77,29,78,35,29,20,11,
Ciego de Ávila,"3,328",28,135,644,101,219,235,58,364,-,520,130,325,214,204,130,21,
    Hombres,"1,674",17,75,300,52,122,116,35,182,-,249,60,175,107,99,74,11,
    Mujeres,"1,654",11,60,344,49,97,119,23,182,-,271,70,150,107,105,56,10,
  Camagüey,"5,880",59,231,"1,381",241,553,230,208,301,859,-,609,400,287,286,196,39,
    Hombres,"2,962",29,124,656,134,275,123,105,149,439,-,326,204,146,136,88,28,
    Mujeres,"2,918",30,107,725,107,278,107,103,152,420,-,283,196,141,150,108,11,
  Las Tunas,"4,648",39,226,"1,161",200,372,129,114,167,277,834,-,591,235,185,53,65,
    Hombres,"2,340",23,130,553,109,201,76,49,85,129,389,-,314,129,83,32,38,
    Mujeres,"2,308",16,96,608,91,171,53,65,82,148,445,-,277,106,102,21,27,
  Holguín,"8,951",69,579,"2,887",570,843,232,212,294,636,555,722,-,398,540,312,102,
    Hombres,"4,585",39,333,1454,324,439,131,93,160,323,277,344,-,195,258,154,61,
    Mujeres,"4,366",30,246,1433,246,404,101,119,134,313,278,378,-,203,282,158,41,
  Granma,"9,666",90,"1,056","2,692","1,093","1,188",229,204,259,704,559,296,507,-,577,109,103,
    Hombres,"4,762",47,548,1252,564,619,124,99,123,362,268,144,237,-,263,53,59,
    Mujeres,"4,904",43,508,1440,529,569,105,105,136,342,291,152,270,-,314,56,44,
  Santiago de Cuba,"9,817",67,974,"3,285",599,"1,195",187,251,182,545,533,232,676,541,-,454,96,
    Hombres,"4,871",43,527,1573,303,616,93,125,93,291,257,116,302,275,-,205,52,
    Mujeres,"4,946",24,447,1712,296,579,94,126,89,254,276,116,374,266,-,249,44,
  Guantánamo,"6,974",69,609,"2,157",651,709,121,128,191,482,426,124,474,144,568,-,121,
    Hombres,"3,510",37,355,1033,327,371,67,61,105,241,215,56,232,75,264,-,71,
    Mujeres,"3,464",32,254,1124,324,338,54,67,86,241,211,68,242,69,304,-,50,
  Isla de la Juventud,"1,337",49,81,617,103,69,26,27,14,25,51,60,67,39,66,43,-,
    Hombres,668,28,44,288,58,28,15,11,9,15,23,29,45,20,37,18,-,
    Mujeres,669,21,37,329,45,41,11,16,5,10,28,31,22,19,29,25,-,
