_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,    -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,     Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la Juventud
Cuba,"72,539","1,385","6,437","21,344","5,330","7,010","3,040","2,001","2,998","3,160","3,912","2,531","3,968","3,186","3,485","1,890",862,
    Hombres,"36,616",688,"3,356","10,248","2,797","3,668","1,609",991,"1,542","1,627","1,966","1,285","2,078","1,614","1,731",977,439,
    Mujeres,"35,923",697,"3,081","11,096","2,533","3,342","1,431","1,010","1,456","1,533","1,946","1,246","1,890","1,572","1,754",913,423,
  Pinar del Río,"2,765",-,926,"1,211",121,131,34,22,44,17,31,24,31,51,59,19,44,
    Hombres,"1,260",-,426,528,59,58,16,11,18,10,14,14,18,28,30,10,20,
    Mujeres,"1,505",-,500,683,62,73,18,11,26,7,17,10,13,23,29,9,24,
  Artemisa,"3,982",446,-,"1,963",279,131,69,48,59,46,96,101,170,216,199,95,64,
    Hombres,"2,000",216,-,949,148,74,34,22,28,26,52,50,91,115,105,52,38,
    Mujeres,"1,982",230,-,1014,131,57,35,26,31,20,44,51,79,101,94,43,26,
  La Habana,"6,649",377,"1,089",-,907,528,356,213,237,205,418,255,585,449,563,287,180,
    Hombres,"3,527",193,538,-,484,273,180,109,140,108,221,143,325,253,303,167,90,
    Mujeres,"3,122",184,551,-,423,255,176,104,97,97,197,112,260,196,260,120,90,
  Mayabeque,"3,715",74,282,"1,756",-,370,56,48,39,58,98,74,191,261,188,149,71,
    Hombres,"1,979",36,152,911,-,204,29,25,22,33,53,42,98,144,105,88,37,
    Mujeres,"1,736",38,130,845,-,166,27,23,17,25,45,32,93,117,83,61,34,
  Matanzas,"3,221",53,122,860,269,-,326,159,108,91,168,101,241,284,272,140,27,
    Hombres,"1,692",24,67,445,146,-,179,85,53,44,89,54,134,153,131,72,16,
    Mujeres,"1,529",29,55,415,123,-,147,74,55,47,79,47,107,131,141,68,11,
  Villa Clara,"3,684",48,73,930,75,858,-,455,633,152,148,63,75,65,61,36,12,
    Hombres,"1,849",21,40,443,47,447,-,203,334,89,72,35,35,27,29,19,8,
    Mujeres,"1,835",27,33,487,28,411,-,252,299,63,76,28,40,38,32,17,4,
  Cienfuegos,"1,973",24,64,485,66,289,439,-,167,64,82,26,66,65,96,27,13,
    Hombres,"1,023",16,39,219,38,160,231,-,93,37,35,13,40,33,52,13,4,
    Mujeres,950,8,25,266,28,129,208,-,74,27,47,13,26,32,44,14,9,
  Sancti Spíritus,"2,639",34,83,500,59,244,743,178,-,277,110,71,156,75,35,54,20,
    Hombres,"1,317",19,37,224,35,125,384,88,-,144,54,40,78,33,22,25,9,
    Mujeres,"1,322",15,46,276,24,119,359,90,-,133,56,31,78,42,13,29,11,
Ciego de Ávila,"3,130",22,109,663,134,218,185,70,363,-,419,98,273,221,215,119,21,
    Hombres,"1,587",11,65,309,63,116,105,39,175,-,229,55,139,103,103,63,12,
    Mujeres,"1,543",11,44,354,71,102,80,31,188,-,190,43,134,118,112,56,9,
  Camagüey,"4,998",41,269,"1,272",245,514,150,140,314,597,-,517,320,255,199,134,31,
    Hombres,"2,528",21,157,617,135,271,81,72,151,308,-,258,164,126,91,60,16,
    Mujeres,"2,470",20,112,655,110,243,69,68,163,289,-,259,156,129,108,74,15,
  Las Tunas,"4,219",27,285,"1,017",247,399,102,79,158,190,756,-,506,223,130,58,42,
    Hombres,"2,148",15,160,479,143,221,53,35,85,96,384,-,256,105,62,29,25,
    Mujeres,"2,071",12,125,538,104,178,49,44,73,94,372,-,250,118,68,29,17,
  Holguín,"7,934",53,620,"2,938",474,665,145,118,284,412,445,618,-,365,447,281,69,
    Hombres,"3,939",26,326,1432,237,334,83,69,134,201,218,301,-,186,220,140,32,
    Mujeres,"3,995",27,294,1506,237,331,62,49,150,211,227,317,-,179,227,141,37,
  Granma,"8,317",67,992,"2,429","1,102","1,007",155,130,229,424,434,259,447,-,473,66,103,
    Hombres,"4,157",38,536,1111,552,533,80,70,123,232,209,125,231,-,225,35,57,
    Mujeres,"4,160",29,456,1318,550,474,75,60,106,192,225,134,216,-,248,31,46,
  Santiago de Cuba,"7,820",57,828,"2,686",640,881,128,213,145,347,342,183,449,475,-,377,69,
    Hombres,"3,847",29,431,1295,331,441,68,101,75,167,160,89,236,218,-,177,29,
    Mujeres,"3,973",28,397,1391,309,440,60,112,70,180,182,94,213,257,-,200,40,
  Guantánamo,"6,309",29,594,"2,074",624,708,131,107,197,261,331,104,422,128,503,-,96,
    Hombres,"3,174",10,333,1023,337,374,74,51,101,120,157,51,207,59,231,-,46,
    Mujeres,"3,135",19,261,1051,287,334,57,56,96,141,174,53,215,69,272,-,50,
  Isla de la Juventud,"1,184",33,101,560,88,67,21,21,21,19,34,37,36,53,45,48,-,
    Hombres,589,13,49,263,42,37,12,11,10,12,19,15,26,31,22,27,-,
    Mujeres,595,20,52,297,46,30,9,10,11,7,15,22,10,22,23,21,,
