_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,   -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,     Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la Juventud
Cuba,"74,916","1,542","6,239","20,776","5,274","6,671","3,219","2,249","3,201","4,345","4,340","2,667","4,156","3,193","3,942","2,159",943,
    Hombres,"37,954",787,"3,173","10,062","2,725","3,494","1,679","1,113","1,668","2,271","2,134","1,350","2,157","1,651","2,052","1,137",501,
    Mujeres,"36,962",755,"3,066","10,714","2,549","3,177","1,540","1,136","1,533","2,074","2,206","1,317","1,999","1,542","1,890","1,022",442,
  Pinar del Río,"2,850",-,918,"1,224",150,129,42,39,36,20,47,25,30,54,68,12,56,
    Hombres,"1,358",-,419,557,80,74,18,23,23,12,26,9,16,29,34,7,31,
    Mujeres,"1,492",-,499,667,70,55,24,16,13,8,21,16,14,25,34,5,25,
  Artemisa,"4,258",565,-,"1,952",286,112,70,39,71,73,121,92,185,238,257,141,56,
    Hombres,"2,110",271,-,917,141,56,38,21,32,38,65,53,109,120,143,73,33,
    Mujeres,"2,148",294,-,1035,145,56,32,18,39,35,56,39,76,118,114,68,23,
  La Habana,"7,349",448,"1,100",-,979,523,441,226,289,302,461,259,603,474,692,350,202,
    Hombres,"3,895",235,552,-,509,306,224,115,148,169,213,139,330,257,369,219,110,
    Mujeres,"3,454",213,548,-,470,217,217,111,141,133,248,120,273,217,323,131,92,
  Mayabeque,"3,857",66,300,"1,677",-,367,49,45,71,79,127,105,243,283,229,162,54,
    Hombres,"1,984",31,151,831,-,196,32,26,40,43,66,54,122,146,126,91,29,
    Mujeres,"1,873",35,149,846,-,171,17,19,31,36,61,51,121,137,103,71,25,
  Matanzas,"3,583",50,130,866,336,-,349,213,160,118,202,122,228,308,280,173,48,
    Hombres,"1,900",28,81,455,188,-,195,115,85,69,103,57,118,161,137,81,27,
    Mujeres,"1,683",22,49,411,148,-,154,98,75,49,99,65,110,147,143,92,21,
  Villa Clara,"3,742",36,72,874,70,789,-,533,680,195,135,75,99,58,73,39,14,
    Hombres,"1,954",21,36,443,35,404,-,270,369,100,83,47,48,34,36,21,7,
    Mujeres,"1,788",15,36,431,35,385,-,263,311,95,52,28,51,24,37,18,7,
  Cienfuegos,"2,008",31,63,402,47,277,429,-,227,85,82,54,90,49,109,48,15,
    Hombres,"1,065",18,39,209,27,144,209,-,124,49,44,29,55,28,60,19,11,
    Mujeres,943,13,24,193,20,133,220,-,103,36,38,25,35,21,49,29,4,
  Sancti Spíritus,"2,766",23,88,415,67,226,690,209,-,418,167,67,186,67,79,56,8,
    Hombres,"1,430",11,49,188,38,117,373,97,-,228,70,34,104,37,46,33,5,
    Mujeres,"1,336",12,39,227,29,109,317,112,-,190,97,33,82,30,33,23,3,
Ciego de Ávila,"3,009",12,128,555,114,190,206,88,321,-,524,98,264,187,187,112,23,
    Hombres,"1,535",5,71,257,60,96,100,45,171,-,276,55,139,98,90,59,13,
    Mujeres,"1,474",7,57,298,54,94,106,43,150,-,248,43,125,89,97,53,10,
  Camagüey,"5,342",34,251,"1,366",271,450,171,163,306,783,-,503,317,264,270,157,36,
    Hombres,"2,769",21,131,671,144,245,93,80,159,403,-,269,163,144,145,83,18,
    Mujeres,"2,573",13,120,695,127,205,78,83,147,380,-,234,154,120,125,74,18,
  Las Tunas,"4,017",39,221,"1,017",177,331,109,75,129,227,715,-,530,207,137,63,40,
    Hombres,"2,041",17,120,509,86,173,62,34,60,123,346,-,287,97,78,30,19,
    Mujeres,"1,976",22,101,508,91,158,47,41,69,104,369,-,243,110,59,33,21,
  Holguín,"8,127",60,487,"2,834",480,626,216,173,270,536,556,644,-,381,485,299,80,
    Hombres,"4,118",34,246,1413,252,339,120,83,135,282,268,316,-,192,243,151,44,
    Mujeres,"4,009",26,241,1421,228,287,96,90,135,254,288,328,-,189,242,148,36,
  Granma,"8,573",51,942,"2,379","1,012","1,008",198,146,288,593,443,305,459,-,518,103,128,
    Hombres,"4,165",25,484,1093,505,516,90,56,144,305,211,144,206,-,271,47,68,
    Mujeres,"4,408",26,458,1286,507,492,108,90,144,288,232,161,253,-,247,56,60,
  Santiago de Cuba,"7,909",63,819,"2,566",586,919,122,199,141,472,393,183,497,466,-,391,92,
    Hombres,"3,872",34,419,1248,304,458,61,102,67,231,174,80,241,220,-,194,39,
    Mujeres,"4,037",29,400,1318,282,461,61,97,74,241,219,103,256,246,-,197,53,
  Guantánamo,"6,229",24,612,"2,033",592,664,107,81,189,427,337,107,361,95,509,-,91,
    Hombres,"3,143",14,325,1004,304,333,56,38,98,212,178,46,181,55,252,-,47,
    Mujeres,"3,086",10,287,1029,288,331,51,43,91,215,159,61,180,40,257,-,44,
  Isla de la Juventud,"1,297",40,108,616,107,60,20,20,23,17,30,28,64,62,49,53,-,
    Hombres,615,22,50,267,52,37,8,8,13,7,11,18,38,33,22,29,-,
    Mujeres,682,18,58,349,55,23,12,12,10,10,19,10,26,29,27,24,-,
