_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,   Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la Juventud
Cuba,"48,386",561,"3,630","12,610","3,505","3,326","2,526","1,869","1,694","2,455","3,518","2,154","3,147","2,385","2,706","1,763",537,
    Hombres,"24,048",270,"1,826","5,973","1,790","1,645","1,250",905,866,"1,218","1,735","1,109","1,647","1,196","1,423",915,280,
    Mujeres,"24,338",291,"1,804","6,637","1,715","1,681","1,276",964,828,"1,237","1,783","1,045","1,500","1,189","1,283",848,257,
  Pinar del Río,"1,675",-,559,729,101,51,14,16,15,5,29,15,18,27,52,20,24,
    Hombres,790,-,256,337,52,22,8,7,9,4,16,10,12,11,24,9,13,
    Mujeres,885,-,303,392,49,29,6,9,6,1,13,5,6,16,28,11,11,
  Artemisa,"2,615",219,-,"1,191",198,55,46,50,39,43,96,46,128,218,148,114,24,
    Hombres,"1,297",100,-,571,88,34,21,29,24,28,49,27,65,113,77,57,14,
    Mujeres,"1,318",119,-,620,110,21,25,21,15,15,47,19,63,105,71,57,10,
  La Habana,"4,607",132,623,-,694,239,427,167,125,165,280,186,438,330,394,279,128,
    Hombres,"2,456",70,351,-,371,136,184,87,68,82,132,109,251,170,218,157,70,
    Mujeres,"2,151",62,272,-,323,103,243,80,57,83,148,77,187,160,176,122,58,
  Mayabeque,"2,585",19,235,"1,067",-,227,57,37,19,31,158,65,188,187,140,116,39,
    Hombres,"1,271",9,109,514,-,120,33,26,10,13,73,33,101,78,72,64,16,
    Mujeres,"1,314",10,126,553,-,107,24,11,9,18,85,32,87,109,68,52,23,
  Matanzas,"2,575",25,106,529,224,-,258,173,64,91,186,120,201,193,243,146,16,
    Hombres,"1,360",13,43,280,119,-,138,86,37,42,100,73,123,97,125,78,6,
    Mujeres,"1,215",12,63,249,105,-,120,87,27,49,86,47,78,96,118,68,10,
  Villa Clara,"2,363",5,56,482,78,333,-,498,352,86,92,81,96,71,91,15,27,
    Hombres,"1,140",2,35,231,42,155,-,230,171,42,38,38,48,37,43,10,18,
    Mujeres,"1,223",3,21,251,36,178,-,268,181,44,54,43,48,34,48,5,9,
  Cienfuegos,"1,242",15,39,255,41,160,306,-,70,38,83,50,62,29,59,28,7,
    Hombres,652,8,28,125,17,88,141,-,37,25,48,25,37,17,33,17,6,
    Mujeres,590,7,11,130,24,72,165,-,33,13,35,25,25,12,26,11,1,
  Sancti Spíritus,"1,815",8,41,235,40,107,485,166,-,273,111,59,121,78,37,46,8,
    Hombres,898,3,26,115,21,53,238,76,-,141,48,30,58,47,20,19,3,
    Mujeres,917,5,15,120,19,54,247,90,-,132,63,29,63,31,17,27,5,
Ciego de Ávila,"1,954",7,57,361,64,117,131,59,218,-,359,64,163,102,131,115,6,
    Hombres,"1,031",4,29,194,32,65,62,33,118,-,187,35,86,56,70,55,5,
    Mujeres,923,3,28,167,32,52,69,26,100,-,172,29,77,46,61,60,1,
  Camagüey,"3,478",25,129,767,181,244,152,123,147,525,-,403,249,204,181,130,18,
    Hombres,"1,705",10,73,342,81,120,90,59,63,239,-,208,141,106,88,77,8,
    Mujeres,"1,773",15,56,425,100,124,62,64,84,286,-,195,108,98,93,53,10,
  Las Tunas,"3,108",15,140,639,142,252,138,74,78,150,705,-,467,125,98,53,32,
    Hombres,"1,597",10,87,296,80,125,68,42,44,79,372,-,229,69,56,24,16,
    Mujeres,"1,511",5,53,343,62,127,70,32,34,71,333,-,238,56,42,29,16,
  Holguín,"5,478",22,313,"1,777",266,325,126,135,208,297,409,577,-,349,369,267,38,
    Hombres,"2,734",11,157,856,137,167,71,56,100,164,198,286,-,182,194,140,15,
    Mujeres,"2,744",11,156,921,129,158,55,79,108,133,211,291,-,167,175,127,23,
  Granma,"5,569",23,524,"1,579",680,511,177,120,140,331,423,260,323,-,360,53,65,
    Hombres,"2,613",8,242,727,325,238,92,54,72,146,183,114,158,-,182,33,39,
    Mujeres,"2,956",15,282,852,355,273,85,66,68,185,240,146,165,-,178,20,26,
  Santiago de Cuba,"5,003",29,437,"1,565",378,446,111,153,98,250,301,148,354,341,-,339,53,
    Hombres,"2,399",15,215,740,197,208,53,68,49,134,147,72,176,143,-,157,25,
    Mujeres,"2,604",14,222,825,181,238,58,85,49,116,154,76,178,198,-,182,28,
  Guantánamo,"3,722",4,317,"1,189",340,249,88,88,116,167,268,66,305,97,376,-,52,
    Hombres,"1,795",2,156,524,182,107,43,46,61,78,133,37,145,49,206,-,26,
    Mujeres,"1,927",2,161,665,158,142,45,42,55,89,135,29,160,48,170,-,26,
  Isla de la Juventud,597,13,54,245,78,10,10,10,5,3,18,14,34,34,27,42,0,
    Hombres,310,5,19,121,46,7,8,6,3,1,11,12,17,21,15,18,-,
    Mujeres,287,8,35,124,32,3,2,4,2,2,7,2,17,13,12,24,-,
