_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,  Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la Juventud
Cuba,"42,909",509,"2,804","18,409","2,242","1,756","1,868","1,186","2,015","1,040","2,546","2,000","1,980","1,316","1,864",800,574,
    Hombres,"20,880",268,"1,302","8,420","1,107",901,958,624,"1,050",523,"1,289","1,022","1,036",690,968,429,293,
    Mujeres,"22,029",241,"1,502","9,989","1,135",855,910,562,965,517,"1,257",978,944,626,896,371,281,
  Pinar del Río,"1,821",0,463,"1,036",57,39,19,14,19,12,22,17,28,13,38,9,35,
    Hombres,803,0,203,444,28,19,10,5,8,5,12,9,16,4,18,7,15,
    Mujeres,"1,018",0,260,592,29,20,9,9,11,7,10,8,12,9,20,2,20,
  Artemisa,"2,771",195,0,"1,725",141,43,31,31,57,15,66,61,93,114,121,43,35,
    Hombres,"1,384",108,0,804,67,21,18,19,30,6,36,37,57,67,69,28,17,
    Mujeres,"1,387",87,0,921,74,22,13,12,27,9,30,24,36,47,52,15,18,
  La Habana,"3,507",124,526,0,476,187,218,118,172,85,282,218,279,212,314,146,150,
    Hombres,"1,850",61,246,0,255,104,106,62,89,46,152,115,160,117,174,84,79,
    Mujeres,"1,657",63,280,0,221,83,112,56,83,39,130,103,119,95,140,62,71,
  Mayabeque,"2,421",42,170,"1,417",0,169,44,17,36,13,49,79,93,106,84,56,46,
    Hombres,"1,205",20,88,667,0,88,22,11,23,9,29,44,46,60,41,29,28,
    Mujeres,"1,216",22,82,750,0,81,22,6,13,4,20,35,47,46,43,27,18,
  Matanzas,"2,151",25,62,654,146,0,223,144,103,49,130,95,132,103,192,74,19,
    Hombres,"1,142",18,27,309,67,0,119,86,62,28,75,54,76,54,112,42,13,
    Mujeres,"1,009",7,35,345,79,0,104,58,41,21,55,41,56,49,80,32,6,
  Villa Clara,"2,074",11,62,688,31,226,0,293,446,53,83,40,36,36,29,21,19,
    Hombres,"1,034",3,27,307,20,127,0,150,240,27,44,24,13,15,16,10,11,
    Mujeres,"1,040",8,35,381,11,99,0,143,206,26,39,16,23,21,13,11,8,
  Cienfuegos,"1,066",3,17,337,24,97,244,0,122,22,62,34,40,18,28,9,9,
    Hombres,547,2,8,148,11,53,140,0,64,9,38,23,19,8,18,2,4,
    Mujeres,519,1,9,189,13,44,104,0,58,13,24,11,21,10,10,7,5,
  Sancti Spíritus,"1,589",18,50,423,15,59,431,103,0,143,114,51,91,20,32,29,10,
    Hombres,787,8,20,195,11,21,229,62,0,71,53,21,42,12,24,13,5,
    Mujeres,802,10,30,228,4,38,202,41,0,72,61,30,49,8,8,16,5,
Ciego de Ávila,"1,941",5,60,550,50,66,118,47,313,0,335,51,118,73,95,47,13,
    Hombres,950,3,26,256,25,26,65,24,152,0,154,29,58,42,55,27,8,
    Mujeres,991,2,34,294,25,40,53,23,161,0,181,22,60,31,40,20,5,
  Camagüey,"2,879",10,105,"1,118",112,128,121,73,173,202,0,401,139,108,128,45,16,
    Hombres,"1,428",4,49,487,55,82,61,44,97,104,0,215,76,59,65,25,5,
    Mujeres,"1,451",6,56,631,57,46,60,29,76,98,0,186,63,49,63,20,11,
  Las Tunas,"2,523",8,144,969,85,68,64,56,78,46,483,0,311,80,66,27,38,
    Hombres,"1,246",3,73,457,38,32,30,24,40,24,253,0,166,45,28,14,19,
    Mujeres,"1,277",5,71,512,47,36,34,32,38,22,230,0,145,35,38,13,19,
  Holguín,"5,062",24,192,"2,696",201,144,103,66,164,123,290,497,0,178,246,87,51,
    Hombres,"2,418",11,96,1248,107,68,44,36,89,60,144,244,0,87,126,37,21,
    Mujeres,"2,644",13,96,1448,94,76,59,30,75,63,146,253,0,91,120,50,30,
  Granma,"4,838",24,346,"2,312",427,187,128,71,153,120,284,250,244,0,216,35,41,
    Hombres,"2,188",13,154,1016,195,101,59,32,73,59,131,113,110,0,93,16,23,
    Mujeres,"2,650",11,192,1296,232,86,69,39,80,61,153,137,134,0,123,19,18,
  Santiago de Cuba,"4,362",5,346,"2,298",261,193,67,78,100,80,201,116,214,198,0,158,47,
    Hombres,"2,063",5,157,1070,120,89,23,35,45,43,103,56,117,90,0,83,27,
    Mujeres,"2,299",0,189,1228,141,104,44,43,55,37,98,60,97,108,0,75,20,
  Guantánamo,"3,325",6,220,"1,832",186,135,44,69,71,73,137,68,146,39,254,0,45,
    Hombres,"1,548",5,107,849,92,61,24,29,34,31,59,28,71,22,118,0,18,
    Mujeres,"1,777",1,113,983,94,74,20,40,37,42,78,40,75,17,136,0,27,
  Isla de la Juventud,579,9,41,354,30,15,13,6,8,4,8,22,16,18,21,14,0,
    Hombres,287,4,21,163,16,9,8,5,4,1,6,10,9,8,11,12,0,
    Mujeres,292,5,20,191,14,6,5,1,4,3,2,12,7,10,10,2,0,

